evtId,ipad,itime,amp
17,43,272,212.9
17,43,273,47.7
17,44,268,80.4
17,44,269,231.0
17,44,270,334.6
17,44,271,249.9
17,44,272,96.3
18,42,269,64.7
18,42,270,143.7
18,42,271,130.6
18,42,272,49.4
18,43,269,242.6
18,43,270,639.2
18,43,271,690.0
18,43,272,303.7
18,43,273,54.3
18,44,269,96.3
18,44,270,228.6
18,44,271,196.5
18,44,272,93.2
18,44,273,47.0
19,42,269,31.1
19,42,270,65.5
19,42,271,54.1
19,43,268,94.2
19,43,269,524.5
19,43,270,1177.5
19,43,271,1096.9
19,43,272,431.9
19,43,273,68.3
19,44,268,98.8
19,44,269,321.6
19,44,270,469.3
19,44,271,383.3
19,44,272,133.4
20,42,269,52.7
20,42,270,130.9
20,42,271,225.4
20,42,272,171.1
20,43,268,118.1
20,43,269,480.5
20,43,270,924.1
20,43,271,910.8
20,43,272,438.5
20,44,268,41.5
20,44,269,207.6
20,44,270,432.6
20,44,271,402.9
20,44,272,199.9
21,42,270,65.7
21,42,271,55.3
21,43,269,259.7
21,43,270,641.1
21,43,271,735.8
21,43,272,364.3
21,43,273,75.2
21,44,269,106.1
21,44,270,234.3
21,44,271,321.1
21,44,272,152.9
22,42,269,65.0
22,42,270,98.1
22,42,271,83.4
22,42,272,35.5
22,43,268,142.9
22,43,269,540.9
22,43,270,948.6
22,43,271,852.5
22,43,272,322.1
22,44,268,38.4
22,44,269,160.9
22,44,270,354.9
22,44,271,419.1
22,44,272,192.1
23,42,269,68.1
23,42,270,172.0
23,42,271,228.0
23,42,272,107.4
23,43,268,170.7
23,43,269,701.2
23,43,270,1447.3
23,43,271,1431.4
23,43,272,622.2
23,44,268,54.9
23,44,269,273.1
23,44,270,575.1
23,44,271,540.6
23,44,272,250.1
24,42,268,58.6
24,42,269,139.0
24,42,270,294.7
24,42,271,305.7
24,42,272,134.2
24,43,268,294.5
24,43,269,1159.7
24,43,270,2146.6
24,43,271,1903.3
24,43,272,873.9
24,44,269,365.1
24,44,270,870.5
24,44,271,1010.1
24,44,272,564.1
24,45,270,33.9
25,42,269,42.6
25,42,270,70.3
25,42,271,85.2
25,42,272,41.4
25,43,269,392.9
25,43,270,709.7
25,43,271,673.8
25,43,272,330.1
25,44,269,132.8
25,44,270,308.9
25,44,271,317.5
25,44,272,149.7
26,42,269,70.9
26,42,270,115.5
26,42,271,98.3
26,42,272,38.0
26,43,268,108.0
26,43,269,333.7
26,43,270,549.4
26,43,271,626.1
26,43,272,358.1
26,44,269,144.7
26,44,270,296.4
26,44,271,207.4
26,44,272,84.0
26,45,270,32.8
27,42,269,80.8
27,42,270,118.8
27,42,271,113.2
27,42,272,51.7
27,43,269,457.3
27,43,270,976.1
27,43,271,996.3
27,43,272,532.5
27,43,273,133.8
27,44,269,201.5
27,44,270,462.8
27,44,271,518.7
27,44,272,245.2
27,44,273,52.7
28,42,269,76.1
28,42,270,151.1
28,42,271,87.3
28,43,268,55.4
28,43,269,349.0
28,43,270,801.8
28,43,271,679.3
28,43,272,250.2
28,44,268,30.7
28,44,269,175.7
28,44,270,418.9
28,44,271,422.4
28,44,272,163.6
29,42,269,59.8
29,42,270,94.6
29,42,271,100.2
29,42,272,39.2
29,43,269,412.8
29,43,270,789.5
29,43,271,755.6
29,43,272,309.4
29,43,273,54.7
29,44,269,198.2
29,44,270,401.9
29,44,271,441.7
29,44,272,189.1
29,44,273,34.1
29,45,271,36.1
30,42,268,108.0
30,42,269,204.0
30,42,270,251.5
30,42,271,226.0
30,42,272,87.9
30,43,268,242.7
30,43,269,852.9
30,43,270,1475.3
30,43,271,1320.4
30,43,272,514.9
30,44,268,78.8
30,44,269,308.6
30,44,270,599.9
30,44,271,585.4
30,44,272,214.0
31,42,268,61.6
31,42,269,141.9
31,42,270,236.9
31,42,271,184.8
31,42,272,92.3
31,43,268,221.6
31,43,269,863.9
31,43,270,1626.2
31,43,271,1473.1
31,43,272,642.3
31,44,268,75.4
31,44,269,389.1
31,44,270,875.5
31,44,271,824.5
31,44,272,320.9
32,42,269,61.8
32,42,270,112.8
32,42,271,100.7
32,42,272,35.0
32,43,269,499.2
32,43,270,808.8
32,43,271,802.5
32,43,272,357.1
32,43,273,80.5
32,44,269,230.0
32,44,270,335.4
32,44,271,384.5
32,44,272,202.6
32,44,273,43.8
33,42,269,84.4
33,42,270,191.5
33,42,271,168.9
33,42,272,57.2
33,43,268,103.7
33,43,269,476.4
33,43,270,938.9
33,43,271,827.0
33,43,272,378.0
33,43,273,125.9
33,44,268,89.0
33,44,269,228.9
33,44,270,356.5
33,44,271,313.6
33,44,272,187.3
33,44,273,77.5
34,42,269,67.5
34,42,270,162.8
34,42,271,160.6
34,42,272,60.8
34,43,268,77.9
34,43,269,369.5
34,43,270,953.3
34,43,271,1236.2
34,43,272,566.6
34,43,273,87.1
34,44,268,38.5
34,44,269,200.5
34,44,270,460.8
34,44,271,487.7
34,44,272,232.6
34,44,273,48.2
35,42,270,69.3
35,42,271,61.2
35,43,269,215.2
35,43,270,497.1
35,43,271,497.7
35,43,272,240.5
35,44,269,73.4
35,44,270,171.1
35,44,271,205.0
35,44,272,116.0
36,42,268,45.3
36,42,269,171.2
36,42,270,282.5
36,42,271,215.5
36,42,272,89.9
36,43,268,193.8
36,43,269,985.0
36,43,270,2033.3
36,43,271,1683.9
36,43,272,658.4
36,44,268,92.1
36,44,269,425.0
36,44,270,838.9
36,44,271,729.7
36,44,272,278.6
37,42,269,48.6
37,42,270,83.4
37,42,271,101.4
37,42,272,44.1
37,43,268,132.5
37,43,269,445.7
37,43,270,724.8
37,43,271,692.1
37,43,272,306.4
37,43,273,55.6
37,44,268,48.1
37,44,269,191.7
37,44,270,372.4
37,44,271,339.2
37,44,272,129.0
38,42,269,48.9
38,42,270,156.1
38,42,271,187.2
38,42,272,79.5
38,43,269,208.8
38,43,270,667.5
38,43,271,898.4
38,43,272,453.3
38,43,273,91.0
38,44,268,32.1
38,44,269,207.2
38,44,270,477.8
38,44,271,426.6
38,44,272,186.1
38,44,273,39.9
39,42,269,69.4
39,42,270,143.4
39,42,271,97.6
39,43,268,108.1
39,43,269,473.1
39,43,270,923.2
39,43,271,828.2
39,43,272,410.3
39,43,273,174.9
39,44,268,31.9
39,44,269,184.2
39,44,270,411.4
39,44,271,364.2
39,44,272,140.0
39,45,271,48.9
40,42,269,34.6
40,42,270,83.2
40,42,271,104.5
40,42,272,47.1
40,43,268,126.4
40,43,269,455.9
40,43,270,894.7
40,43,271,751.2
40,43,272,315.2
40,44,268,48.6
40,44,269,210.3
40,44,270,433.6
40,44,271,404.4
40,44,272,188.3
41,42,269,90.4
41,42,270,164.3
41,42,271,151.2
